Value,Rechercheweg
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), Geologisches Landesamt, Grundsatz, Geowissenschaftliche Landesaufnahme",contact_name
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft",contact_name
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft, Grundsatz, Wasserwirtschaftliche Grundlagen, Informationssysteme",contact_name
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft, Schutz und Bewirtschaftung der Oberflächengewässer",contact_name
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft, Schutz und Bewirtschaftung des Grundwassers",contact_name
"Behörde für Umwelt und Energie (BUE), Zentrale Aufgaben, Recht und Beteiligungen (ZR), SharedService BUE/BSW Informationstechnologie (Z4), Projekte und Integration",contact_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA), Agrarwirtschaft (A), Oberste Forst- und Jagdbehörde, Pferdezucht, Rennwettbetrieb",contact_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA), Energie und Klima (E), E1 - Energie, E 16 - Umwelt und Wirtschaft, UmweltPartnerschaft Hamburg",contact_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA), Immissionsschutz und Abfallwirtschaft (I), Schornsteinfegerwesen",contact_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA), Naturschutz, Grünplanung und Bodenschutz (N), N1 - Landschaftsplanung und Stadtgrün, N 13 - Gesamtstädtische Freiraumentwicklung",contact_name
"Behörde für Wirtschaft, Verkehr und Innovation",contact_name
"Behörde für Wirtschaft, Verkehr und Innovation, Amt für Innovations-, Strukturpolitik, Mittelstand, Hafen",contact_name
"Behörde für Wirtschaft, Verkehr und Innovation, Amt für Verkehr und Straßenwesen",contact_name
"Behörde für Wirtschaft, Verkehr und Innovation, Rechtsamt",contact_name
Bereich Verkehrsmanagement und -sicherheit,contact_name
bergheim,contact_name
Berlin.de,contact_name
"Bezirksämter, Bezirksamt Eimsbüttel",contact_name
"Bezirksämter, Bezirksamt Hamburg-Mitte",contact_name
"Bezirksämter, Bezirksamt Hamburg-Mitte, Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bezirklicher Sportstättenbau",contact_name
brühl,contact_name
Der Gutachterausschuss für Grundstückswerte in der Stadt Wuppertal,contact_name
Der Obere Gutachterausschuss für Grundstückswerte im Land Nordrhein-Westfalen c/o Bezirksregierung Köln,contact_name
Der Obere Gutachterausschuss für Grundstückswerte im Land NRW,contact_name
"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",contact_name
Düsseldorfer Drogenhilfe e.V.,contact_name
Fachliche Leitstelle Transparenzportal,contact_name
FB02/3 Statistik und Stadtforschung,contact_name
"Freie Hansestadt Bremen, Senator für Kultur",contact_name
Geoservice der Stadt Aachen,contact_name
Hamburg Convention Bureau GmbH,contact_name
Hamburger Verkehrsverbund GmbH,contact_name
hochsauerlandkreis,contact_name
hürtgenwald,contact_name
kerpen,contact_name
Kommunalbetrieb Krefeld AöR,contact_name
"Landeshauptstadt Kiel, Bürger- und Ordnungsamt, Abteilung Statistik",contact_name
Leipziger Städtische Bibliotheken,contact_name
merzenich,contact_name
Netzgesellschaft Niederrhein MBH,contact_name
opendata@kreis-kleve.de,contact_name
smile consult GmbH (smile),contact_name
Stromnetz Berlin GmbH,contact_name
Verkehrsverbund Oberelbe GmbH,contact_name
Verkehrsverbund Rhein-Sieg GmbH - Digitalisierung Mobilität,contact_name
Wasserversorgung SULINGER LAND,contact_name
Zukunftswerkstatt Düsseldorf GmbH,contact_name
AWB Köln,contact_name
Berliner Feuerwehr,contact_name
Berliner Forsten,contact_name
Bezirksamt Friedrichshain-Kreuzberg,contact_name
Bezirksamt Pankow,contact_name
Bezirksamt Tempelhof-Schöneberg,contact_name
Bezirksregierung Münster,contact_name
Bonn.digital GbR,contact_name
bonnorange AöR,contact_name
Feuerwehr Düsseldorf,contact_name
Feuerwehr Koeln,contact_name
FH Köln,contact_name
Finanzservice Tempelhof-Schöneberg,contact_name
Fischereiamt Berlin,contact_name
Flughafen Münster/Osnabrück,contact_name
Gemeinde Altenberge,contact_name
Gemeinde Bönen,contact_name
Gemeinde Everswinkel,contact_name
Gemeinde Hellenthal,contact_name
Gemeinde Holzwickede,contact_name
Gemeinde Kall,contact_name
Gemeinde Roetgen,contact_name
Gemeinde Schwalmtal,contact_name
Gemeinde Südlohn,contact_name
Hansestadt Attendorn,contact_name
KölnBäder GmbH,contact_name
Kölner Zoo,contact_name
Kolpingstadt Kerpen,contact_name
Kreis Euskirchen,contact_name
Kreis Kleve,contact_name
Kreis Minden-Lübbecke,contact_name
Kreis Recklinghausen,contact_name
Kreis Soest,contact_name
Kreis Steinfurt,contact_name
Kreis Viersen,contact_name
Kreis Wesel,contact_name
Kreisverwaltung Kleve,contact_name
Kreisverwaltung Recklinghausen,contact_name
KVB Koeln,contact_name
Landesdenkmalamt Berlin,contact_name
Landeshauptstadt Dresden,contact_name
Landeshauptstadt Düsseldorf,contact_name
Landkreis Diepholz,contact_name
Landratsamt Greiz,contact_name
Märkischer Kreis,contact_name
Ortsgemeinde Burgbrohl,contact_name
Ortsgemeinde Dedenbach,contact_name
Ortsgemeinde Galenberg,contact_name
Rhein-Kreis Neuss,contact_name
ST Andernach,contact_name
ST Mayen,contact_name
ST Remagen,contact_name
Stadt Andernach,contact_name
Stadt Bergkamen,contact_name
Stadt Bocholt,contact_name
Stadt Bochum,contact_name
Stadt Bonn,contact_name
Stadt Bottrop,contact_name
Stadt Dormagen,contact_name
Stadt Duisburg,contact_name
Stadt Dülmen,contact_name
Stadt Elsdorf,contact_name
Stadt Emsdetten,contact_name
Stadt Ennigerloh,contact_name
Stadt Erftstadt,contact_name
Stadt Euskirchen,contact_name
Stadt Gelsenkirchen,contact_name
Stadt Grevenbroich,contact_name
Stadt Gronau,contact_name
Stadt Haan,contact_name
Stadt Harsewinkel,contact_name
Stadt Hattingen,contact_name
Stadt Heiligenhaus,contact_name
Stadt Hilden,contact_name
Stadt Hürth,contact_name
Stadt Iserlohn,contact_name
Stadt Jüchen,contact_name
Stadt Kaarst,contact_name
Stadt Kamen,contact_name
Stadt Kleve,contact_name
Stadt Köln,contact_name
Stadt Krefeld,contact_name
Stadt Landau,contact_name
Stadt Leipzig,contact_name
Stadt Lemgo,contact_name
Stadt Lengerich,contact_name
Stadt Lippstadt,contact_name
Stadt Lüdenscheid,contact_name
Stadt Mayen,contact_name
Stadt Meerbusch,contact_name
Stadt Mönchengladbach,contact_name
Stadt Münster,contact_name
Stadt Neuss,contact_name
Stadt Oelde,contact_name
Stadt Remagen,contact_name
Stadt Remscheid,contact_name
Stadt Rheda-Wiedenbrück,contact_name
Stadt Stolberg,contact_name
Stadt Trier,contact_name
Stadt Troisdorf,contact_name
Stadt Vreden,contact_name
Stadt Waltrop,contact_name
Stadt Werne,contact_name
Stadt Wesseling,contact_name
Stadt Wittlich,contact_name
Stadt Zülpich,contact_name
Stadtbibliothek Bremen,contact_name
Stadtbibliothek Köln,contact_name
Stadtreinigung Hamburg,contact_name
Stadtverwaltung Chemnitz,contact_name
Stadtverwaltung Goch,contact_name
Stadtverwaltung Hennef,contact_name
Stadtverwaltung Jena,contact_name
Stadtverwaltung Meiningen,contact_name
Stadtverwaltung Menden,contact_name
Stadtverwaltung Wittlich,contact_name
Stadtwerke Bonn,contact_name
Stadtwerke Münster,contact_name
Standesamt Leipzig,contact_name
Stdat Stolberg,contact_name
Verbandsgemeide Emmelshausen,contact_name
Verbandsgemeinde Altenahr,contact_name
Verbandsgemeinde Cochem,contact_name
Verbandsgemeinde Dierdorf,contact_name
Verbandsgemeinde Emmelshausen,contact_name
Verbandsgemeinde Gerolstein,contact_name
Verbandsgemeinde Hamm,contact_name
Verbandsgemeinde Jockgrim,contact_name
Verbandsgemeinde Kastellaun,contact_name
Verbandsgemeinde Kirchberg,contact_name
Verbandsgemeinde Meisenheim,contact_name
Verbandsgemeinde Otterbach-Otterberg,contact_name
Verbandsgemeinde Puderbach,contact_name
Verbandsgemeinde Rheinböllen,contact_name
Verbandsgemeinde Simmern,contact_name
Verbandsgemeinde Vordereifel,contact_name
Verkehrslenkung Berlin,contact_name
VG Altenahr,contact_name
VG Cochem,contact_name
VG Dierdorf,contact_name
VG Gerolstein,contact_name
VG Hamm,contact_name
VG Jockgrim,contact_name
VG Meisenheim,contact_name
VG Otterbach-Otterberg,contact_name
VG Puderbach,contact_name
VG Selters,contact_name
VG Uder,contact_name
VG Vordereifel,contact_name
VHS Koeln,contact_name
Wirtschaftsbetriebe Duisburg,contact_name
Wuppertaler Stadtwerke,contact_name
Zoo Duisburg,contact_name
"Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg, Geschäftsbereich Liegenschaftskataster, LGV Support",contact_name
"Hinrichs, Wilfried, Herr",contact_name
"Behörde für Umwelt und Energie (BUE), Immissionsschutz und Abfallwirtschaft (I), Abfallwirtschaft",contact_name
"Behörde für Wirtschaft, Verkehr und Innovation, Amt für Verkehr und Straßenwesen",contact_name
Bergheim,contact_name
Knud Möller,contact_name
"Bezirksämter, Bezirksamt Eimsbüttel, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",contact_name
"Bezirksämter, Bezirksamt Hamburg-Mitte, Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",contact_name
Brühl,contact_name
"Freie Hansestadt Bremen, die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",contact_name
Hochsauerlandkreis,contact_name
Hürtgenwald,contact_name
Kerpen,contact_name
Merzenich,contact_name
"Bezirksamt Friedrichshain-Kreuzberg, Finanzservice",contact_name
Daniel Reimann,contact_name
Cornelia Stolt,contact_name
Kall,contact_name
GeoService StädteRegion Aachen,contact_name
Kreisverwaltung Recklinghausen,contact_name
Jörg Boltersdorf,contact_name
Fachbereich 62,contact_name
Amt für Umweltschutz der Stadt Leipzig,contact_name
opendata@meerbusch.de,contact_name
Tim Neuhäuser,contact_name
Amt Nortorfer Land,contact_name
Amt Schlei-Ostsee,contact_name
Stadt An der Schmücke,contact_name
Stadt Bad Köstritz und der beauftragenden Gemeinden,contact_name
Stadt Bad Nauheim,contact_name
Stadt Berga/Elster,contact_name
Abt. III C - Freiraumplanung und Stadtgrün,contact_name
Beate Wimmer,contact_name
"Bezirksamt Charlottenburg-Wilmersdorf, Büro der Bezirksverordnetenversammlung",contact_name
Bezirksamt Friedrichshain-Kreuzberg von Berlin,contact_name
"Bezirksamt Spandau von Berlin. Abteilung Bauen, Planen, Umwelt- und Naturschutz (FB Vermessung und Geoinformation).",contact_name
Bezirksamt Steglitz-Zehlendorf von Berlin,contact_name
Landesamt für Gesundheit und Soziales Berlin,contact_name
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen Berlin",contact_name
"Senatsverwaltung für Umwelt, Mobilität, Verbraucher- und Klimaschutz",contact_name
"Senatsverwaltung für Umwelt, Mobilität, Verbraucher- und Klimaschutz, Fischereiamt Berlin",contact_name
"Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung Berlin",contact_name
"Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung Berlin – Presse- und Öffentlichkeitsarbeit",contact_name
Immobilienservicebetrieb der Stadt Bielefeld (ISB),contact_name
Marcel Tesch,contact_name
Presseamt/Statistikstelle der Stadt Bielefeld,contact_name
Stadt Bielefeld - Feuerwehramt,contact_name
"Stadt Bielefeld, Presseamt/Statistikstelle",contact_name
Stadt Blankenhain,contact_name
Stadt Bramsche,contact_name
"Landesamt GeoInformation Bremen, Koordinierungsstelle GDI-FHB",contact_name
Stadt Brotterode-Trusetal,contact_name
Stadt Bürgel und den zu erfüllenden Gemeinden,contact_name
Stadt Dingelstädt,contact_name
Stadt Ellrich,contact_name
Stadt Elmshorn,contact_name
Gemeinde Amt Wachsenburg,contact_name
Gemeinde Anrode,contact_name
Gemeinde Bad Essen,contact_name
Gemeinde Bad Klosterlausnitz und der beauftragenden Gemeinden,contact_name
Gemeinde Belm,contact_name
Gemeinde Bissendorf,contact_name
Gemeinde Breitungen und beauftragende Gemeinden,contact_name
Gemeinde Breitungen und der beauftragenden Gemeinden,contact_name
Gemeinde Büchen,contact_name
Gemeinde Eppertshausen,contact_name
Gemeinde Harth-Pöllnitz,contact_name
Gemeinde Hasbergen,contact_name
Gemeinde Kaulsdorf und beauftragende Gemeinden,contact_name
Gemeinde Kaulsdorf und der beauftragenden Gemeinden,contact_name
Gemeinde Kraftsdorf,contact_name
Gemeinde Menteroda,contact_name
Gemeinde Modautal,contact_name
Gemeinde Münster,contact_name
Gemeinde Nesse-Apfelstädt,contact_name
Gemeinde Ostercappeln,contact_name
Gemeinde Otzberg,contact_name
Gemeinde Remptendorf,contact_name
Gemeinde Rosenthal am Rennsteig,contact_name
Gemeinde Roßdorf,contact_name
Gemeinde Sollstedt,contact_name
Gemeinde Sonnenstein,contact_name
Gemeinde Sylt/Amt Landschaft S,contact_name
Gemeinde Veilsdorf,contact_name
Gemeinde Wallenhorst,contact_name
Gemeinde Werther,contact_name
Stadtverwaltung Gera,contact_name
Stadt Greiz,contact_name
Stadtverwaltung Greiz,contact_name
Stadt Hagen,contact_name
"Behörde für Wissenschaft, Forschung, Gleichstellung und Bezirke (BWFGB)",contact_name
Stadt Hanau,contact_name
Stadt Haren (Ems),contact_name
Stadt Heilbad Heiligenstadt,contact_name
Stadt Heringen/Helme,contact_name
Stadt Hirschberg,contact_name
Hochtaunuskreis,contact_name
Landratsamt Ilm-Kreis,contact_name
Stadt Kahla,contact_name
Köln Bäder,contact_name
Polizei Köln,contact_name
Stadtbibliothek Köln,contact_name
Zoologischer Garten Köln,contact_name
Kreis Groß-Gerau,contact_name
Kreisstadt Dietzenbach,contact_name
Kreisstadt Hofheim am Taunus,contact_name
Landgemeinde Buttstädt,contact_name
Landgemeinde und erfüllende Gemeinde Georgenthal,contact_name
Landgemeinde Greußen,contact_name
LRA Altenburger Land,contact_name
Landratsamt Altenburger Land,contact_name
Landkreis Darmstadt-Dieburg,contact_name
Landratsamt Eichsfeld,contact_name
Landkreis Göttingen,contact_name
Landratsamt Hildburghausen,contact_name
Landkreis Limburg-Weilburg,contact_name
Landkreis Ludwigslust-Parchim,contact_name
Landkreis Mecklenburgische Seenplatte,contact_name
Landkreis Vorpommern-Rügen,contact_name
Stadt Lauscha,contact_name
Stadt Leutenberg,contact_name
Stadt Lucka,contact_name
Main-Kinzig-Kreis,contact_name
Main-Taunus-Kreis,contact_name
Stadt Maintal,contact_name
Stadt Meiningen und beauftragende Gemeinden,contact_name
Stadt Meiningen und der beauftragenden Gemeinden,contact_name
Stadt Melle,contact_name
Stadt Ober-Ramstadt,contact_name
Odenwaldkreis,contact_name
Stadt Rendsburg,contact_name
Rheingau-Taunus-Kreis,contact_name
Stadt Römhild,contact_name
Stadt Rüsselsheim am Main,contact_name
Stadtverwaltung Saalfeld/Saale,contact_name
Samtgemeinde Artland,contact_name
Samtgemeinde Bersenbrück,contact_name
Samtgemeinde Fürstenau,contact_name
Stadt Schalkau,contact_name
Stadt Schleusingen,contact_name
Stadt Schwentinental,contact_name
Stadt Sömmerda,contact_name
Stadt Stadtroda und der beauftragenden Gemeinden,contact_name
Stadt Suhl,contact_name
Landratsamt Unstrut-Hainich-Kreis,contact_name
Verbandsgemeinde Cochem,contact_name
Verbandsgemeinde Weißenthurm,contact_name
Verwaltungsgemeinschaft Dornburg-Camburg,contact_name
Verwaltungsgemeinschaft Feldstein,contact_name
Verwaltungsgemeinschaft Gera-Aue,contact_name
Verwaltungsgemeinschaft Geratal/Plaue,contact_name
Verwaltungsgemeinschaft Greußen,contact_name
Verwaltungsgemeinschaft Heideland-Elstertal-Schkölen,contact_name
Verwaltungsgemeinschaft Kindelbrück,contact_name
Verwaltungsgemeinschaft Nesseaue,contact_name
Verwaltungsgemeinschaft Oppurg,contact_name
Verwaltungsgemeinschaft Seenplatte,contact_name
Verwaltungsgemeinschaft Triptis,contact_name
Verwaltungsgemeinschaft Wasungen-Amt Sand,contact_name
Stadt Waltershausen,contact_name
Stadt Weimar,contact_name
Wetteraukreis,contact_name
Stadt Zella-Mehlis,contact_name
ZV EG Flugplatz Zweibrücken,contact_name
Zweckverband Entwicklungsgebiet Flugplatz Zweibrücken,contact_name
